"동별(1)",동별(2),동별(3),2025,2025,2025,2025,2025,2025,2025,2025,2025
"동별(1)",동별(2),동별(3),장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별,장애정도별
"동별(1)",동별(2),동별(3),소계,소계,소계,심한 장애,심한 장애,심한 장애,심하지 않은 장애,심하지 않은 장애,심하지 않은 장애
"동별(1)",동별(2),동별(3),계,남자,여자,계,남자,여자,계,남자,여자
"합계",강서구,방화3동,1893,1042,851,835,495,340,1058,547,511
"합계",강서구,기타,1,1,-,-,-,-,1,1,-
"합계",관악구,소계,20008,11608,8400,6645,4030,2615,13363,7578,5785
"합계",관악구,보라매동,1076,606,470,348,193,155,728,413,315
"합계",관악구,청림동,614,338,276,212,138,74,402,200,202
"합계",관악구,성현동,1442,772,670,515,298,217,927,474,453
"합계",관악구,행운동,994,581,413,351,207,144,643,374,269
"합계",관악구,낙성대동,424,233,191,173,103,70,251,130,121
"합계",관악구,청룡동,1142,661,481,373,232,141,769,429,340
"합계",관악구,은천동,1619,943,676,555,329,226,1064,614,450
"합계",관악구,중앙동,557,331,226,169,107,62,388,224,164
"합계",관악구,인헌동,886,495,391,292,161,131,594,334,260
"합계",관악구,남현동,571,332,239,177,113,64,394,219,175
"합계",관악구,서원동,820,501,319,254,170,84,566,331,235
"합계",관악구,신원동,881,493,388,269,173,96,612,320,292
"합계",관악구,서림동,902,526,376,315,199,116,587,327,260
"합계",관악구,신사동,941,563,378,303,188,115,638,375,263
"합계",관악구,신림동,533,318,215,173,104,69,360,214,146
"합계",관악구,난향동,713,419,294,240,142,98,473,277,196
"합계",관악구,조원동,757,461,296,228,148,80,529,313,216
"합계",관악구,대학동,787,507,280,274,176,98,513,331,182
"합계",관악구,삼성동,1334,752,582,444,262,182,890,490,400
"합계",관악구,미성동,1436,854,582,462,283,179,974,571,403
"합계",관악구,난곡동,1579,922,657,518,304,214,1061,618,443
"합계",관악구,기타,-,-,-,-,-,-,-,-,-
"합계",광진구,소계,11981,6928,5053,3921,2363,1558,8060,4565,3495
"합계",광진구,화양동,509,292,217,157,102,55,352,190,162
"합계",광진구,군자동,769,448,321,238,145,93,531,303,228
"합계",광진구,중곡1동,649,358,291,227,127,100,422,231,191
"합계",광진구,중곡2동,863,489,374,274,158,116,589,331,258
"합계",광진구,중곡3동,741,442,299,268,165,103,473,277,196
"합계",광진구,중곡4동,1276,764,512,426,273,153,850,491,359
"합계",광진구,능동,364,206,158,122,71,51,242,135,107
"합계",광진구,광장동,698,409,289,250,156,94,448,253,195
"합계",광진구,자양1동,893,509,384,300,158,142,593,351,242
"합계",광진구,자양2동,918,517,401,295,184,111,623,333,290
"합계",광진구,자양3동,762,435,327,239,136,103,523,299,224
"합계",광진구,자양4동,933,548,385,265,169,96,668,379,289
"합계",광진구,구의1동,806,470,336,269,154,115,537,316,221
"합계",광진구,구의2동,1028,609,419,340,209,131,688,400,288
"합계",광진구,구의3동,772,432,340,251,156,95,521,276,245
"합계",광진구,기타,-,-,-,-,-,-,-,-,-
"합계",구로구,소계,19579,11432,8147,6257,3780,2477,13322,7652,5670
"합계",구로구,신도림동,968,589,379,319,199,120,649,390,259
"합계",구로구,구로1동,555,332,223,167,122,45,388,210,178
"합계",구로구,구로2동,1647,910,737,441,273,168,1206,637,569
"합계",구로구,구로3동,941,534,407,264,149,115,677,385,292
"합계",구로구,구로4동,1397,777,620,370,226,144,1027,551,476
"합계",구로구,구로5동,1219,736,483,365,222,143,854,514,340
"합계",구로구,가리봉동,617,381,236,190,121,69,427,260,167
"합계",구로구,고척1동,1133,701,432,364,226,138,769,475,294
"합계",구로구,고척2동,1429,844,585,454,254,200,975,590,385
"합계",구로구,개봉1동,1758,1042,716,578,356,222,1180,686,494
"합계",구로구,개봉2동,1458,866,592,458,272,186,1000,594,406
"합계",구로구,개봉3동,1074,646,428,339,205,134,735,441,294
"합계",구로구,오류1동,1181,683,498,377,222,155,804,461,343
"합계",구로구,오류2동,2220,1244,976,824,507,317,1396,737,659
"합계",구로구,수궁동,1348,767,581,473,271,202,875,496,379
"합계",구로구,항동,633,380,253,273,155,118,360,225,135
"합계",구로구,기타,1,-,1,1,-,1,-,-,-
"합계",금천구,소계,12227,7224,5003,3891,2351,1540,8336,4873,3463
"합계",금천구,가산동,789,488,301,244,150,94,545,338,207
"합계",금천구,독산1동,2112,1233,879,828,484,344,1284,749,535
"합계",금천구,독산2동,1034,604,430,316,190,126,718,414,304
"합계",금천구,독산3동,1367,839,528,391,245,146,976,594,382
"합계",금천구,독산4동,863,537,326,257,156,101,606,381,225
