addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
"서울특별시 종로구 종로5길 34, 4,6층 (청진동)",31,의원,0,0,0,0,0,0,0,0,1,청진동,20260707,,0,0,0,1,0,3158,110016,종로구,110000,서울,02-722-2704,126.9806331,37.5718165,광화문나무이비인후과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzUxIyQxIyQxIyQ3MiQyNjE4MzIjNDEjJDEjJDgjJDgz
"서울특별시 종로구 세종대로 159, 6층 (세종로)",31,의원,0,0,0,0,0,0,0,0,1,세종로,20080530,,0,0,0,1,0,3183,110016,종로구,110000,서울,02-736-5505,126.9763604,37.5706115,광화문닥터김이비인후과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzUxIyQxIyQxIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz
"서울특별시 종로구 종로3길 34, 삼송빌딩 601,602,605,801호 (청진동)",31,의원,0,0,0,0,0,0,0,0,10,청진동,20200508,,0,0,0,10,0,3156,110016,종로구,110000,서울,02-722-7977,126.9794965,37.571881,광화문숲정신건강의학과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ5OSQyNjE0ODEjODEjJDEjJDIjJDgz
"서울특별시 종로구 세종대로23길 54, 세종빌딩, 세종아파트 1층 107,108,109호 (당주동)",31,의원,0,0,0,0,0,0,0,0,1,당주동,20200904,,0,0,0,1,0,3173,110016,종로구,110000,서울,02-735-7588,126.9733018,37.5718397,광화문정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ4OSQyNjEwMDIjNzEjJDEjJDgjJDgz
"서울특별시 종로구 무교로 39, 3,4,5,6층 (서린동)",31,의원,0,0,0,0,0,0,0,0,1,서린동,20150205,,0,0,0,1,0,3187,110016,종로구,110000,서울,02-722-7582,126.979134,37.5694917,광화문참바른정형외과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz
"서울특별시 종로구 자하문로2길 4, 5층 (적선동, 경복빌딩)",31,의원,0,0,0,0,0,0,0,0,1,적선동,20060609,,0,0,0,1,0,3044,110016,종로구,110000,서울,02-722-6087,126.9728746,37.5763837,광화문하나이비인후과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5OSQ0NjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 종로구 새문안로 91, 광화문 고려빌딩 2층 (신문로1가)",31,의원,0,0,0,0,0,0,0,0,1,신문로1가,20230926,,0,0,0,1,0,3182,110016,종로구,110000,서울,02-733-2237,126.974762,37.5704971,광화문헤리티크피부과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQwMyQ0NjE0ODEjNTEjJDEjJDYjJDgz
"서울특별시 종로구 종로 1, 2층 (종로1가, 교보생명빌딩)",31,의원,0,0,0,0,0,0,0,0,1,종로1가,20110503,,0,0,0,1,0,3154,110016,종로구,110000,서울,02-721-3791,126.9778787,37.5709477,광화문헬스케어의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQxMyQzNjE4MzIjNzEjJDEjJDgjJDgz
"서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 205호 (문정동)",31,의원,0,0,0,0,0,0,0,0,2,문정동,20200325,,0,0,0,2,0,5854,110018,송파구,110000,서울,02-526-8488,127.1206324,37.4878287,괜찮아정신건강의학과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQ5MiQ0NjE0ODEjODEjJDEjJDYjJDgz
"서울특별시 서초구 서초대로 302, 9층 (서초동, 인앤인빌딩)",31,의원,0,0,0,0,0,0,0,0,1,서초동,20051122,http://www.eyelove.co.kr/,0,0,0,1,0,6634,110021,서초구,110000,서울,02-525-3375,127.0147172,37.4937277,교대성모안과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ5OSQzNjEwMDIjNjEjJDEjJDgjJDgz
"서울특별시 서초구 서초대로 287, 석정빌딩 2층 (서초동)",31,의원,0,0,0,0,0,0,0,0,2,서초동,20240513,,0,0,0,2,0,6596,110021,서초구,110000,서울,02-595-7595,127.0129826,37.4937124,교대연세마취통증의학과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQxIyQzIyQ5OSQ0NjEwMDIjNTEjJDEjJDYjJDgz
"서울특별시 종로구 종로 1, 8층 (종로1가, 교보생명빌딩)",31,의원,0,0,0,0,0,0,0,0,1,종로1가,20110722,,0,0,0,1,0,3154,110016,종로구,110000,서울,02-721-2743,126.9778787,37.5709477,교보생명보험(주)부속의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ4OSQzNjE4MzIjNTEjJDEjJDYjJDgz
"서울특별시 광진구 자양로 131, K&S빌딩 3층 (자양동)",31,의원,0,0,0,0,0,0,0,0,1,자양동,20230828,,0,0,0,1,0,5026,110023,광진구,110000,서울,02-444-2513,127.082917,37.5394863,구길회마취통증의학과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQyIyQ3IyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz
