요양기관명,시도명,시군구명,요양기관종별,표시과목,주소,중환자실 병상수 소계,성인 중환자실 병상수,소아 중환자실 병상수,신생아 중환자실 병상수,격리병실 병상수
부산성모병원(재단법인 천주교부산교구유지재단),부산광역시,남구,종합병원,해당사항없음,부산광역시 남구 용호로232번길 25-14 (용호동),30,20,0,10,2
의료법인정화의료재단봉생힐링병원,부산광역시,남구,병원,일반의,부산광역시 남구 양지골로 241 (감만동),0,0,0,0,2
의료법인은경의료재단 인창대연요양병원,부산광역시,남구,요양병원,해당사항없음,부산광역시 남구 수영로 164 (대연동),0,0,0,0,3
의료법인인혜의료재단가나병원,부산광역시,남구,정신병원,해당사항없음,부산광역시 남구 유엔평화로 156 (용당동),0,0,0,0,1
의료법인 인당의료재단 부민병원,부산광역시,북구,종합병원,해당사항없음,부산광역시 북구 만덕대로 59 (덕천동),19,19,0,0,1
재단법인 베스티안재단 베스티안부산병원,부산광역시,북구,병원,일반의,부산광역시 북구 화명대로 1 (화명동),6,6,0,0,0
다사랑요양병원,부산광역시,북구,요양병원,해당사항없음,부산광역시 북구 덕천로 339 (만덕동),0,0,0,0,12
의료법인 은성의료재단 좋은리버뷰요양병원,부산광역시,북구,요양병원,해당사항없음,부산광역시 북구 금곡대로 586 (금곡동),0,0,0,0,1
인제대학교 해운대백병원,부산광역시,해운대구,종합병원,해당사항없음,부산광역시 해운대구 해운대로 875 (좌동),100,77,0,23,7
의료법인 인당의료재단 해운대부민병원,부산광역시,해운대구,종합병원,해당사항없음,"부산광역시 해운대구 해운대로 584, 해운대 부민병원 지하4~지상13층 (우동)",21,21,0,0,3
센텀이루다요양병원,부산광역시,해운대구,요양병원,해당사항없음,"부산광역시 해운대구 APEC로 17, 센텀리더스마크, 1.2층일부, 3층, 5~8층 (우동)",0,0,0,0,1
해운대 한빛요양병원,부산광역시,해운대구,요양병원,해당사항없음,"부산광역시 해운대구 반여로 156, 한빛요양병원 (반여동)",0,0,0,0,6
센텀파크요양병원,부산광역시,해운대구,요양병원,해당사항없음,부산광역시 해운대구 재반로 137 (재송동),0,0,0,0,1
하나병원,부산광역시,사하구,병원,일반의,부산광역시 사하구 다대로 311 (장림동),5,5,0,0,0
라파요양병원,부산광역시,사하구,요양병원,해당사항없음,"부산광역시 사하구 다대로 544, 3-4층 (다대동, 진요빌딩)",0,0,0,0,19
의료법인 성원의료재단 감천참편한요양병원,부산광역시,사하구,요양병원,해당사항없음,"부산광역시 사하구 감천로 125 (감천동, 우리빌딩)",0,0,0,0,1
의료법인한우리의료재단 한우리요양병원,부산광역시,사하구,요양병원,해당사항없음,부산광역시 사하구 원양로 400 (감천동),0,0,0,0,3
의료법인은성의료재단 좋은사랑요양병원,부산광역시,사하구,요양병원,해당사항없음,부산광역시 사하구 낙동대로 305 (괴정동),0,0,0,0,8
한빛요양병원,부산광역시,사하구,요양병원,해당사항없음,부산광역시 사하구 사하로 55 (구평동),0,0,0,0,5
화창한병원,부산광역시,금정구,병원,일반의,"부산광역시 금정구 중앙대로1685번길 12, 지하2~6층 (부곡동)",5,5,0,0,0
의료법인 라움의료재단 세웅병원,부산광역시,금정구,병원,일반의,부산광역시 금정구 서동로 162 (서동),9,9,0,0,0
의료법인 영파의료재단 규림요양병원,부산광역시,금정구,요양병원,해당사항없음,부산광역시 금정구 금샘로 59 (장전동),0,0,0,0,2
다움병원,부산광역시,금정구,정신병원,해당사항없음,부산광역시 금정구 체육공원로 608 (두구동),0,0,0,0,1
부산광역시의료원,부산광역시,연제구,종합병원,해당사항없음,"부산광역시 연제구 월드컵대로 359 (거제동, 1동, 5동일부)",27,27,0,0,23
세움병원,부산광역시,연제구,병원,일반의,부산광역시 연제구 고분로13번길 15 (연산동),0,0,0,0,12
비에이치에스한서병원,부산광역시,수영구,종합병원,해당사항없음,부산광역시 수영구 수영로 615 (광안동),16,16,0,0,3
의료법인 은성의료재단 좋은강안병원,부산광역시,수영구,종합병원,해당사항없음,부산광역시 수영구 수영로 493 (남천동),32,32,0,0,3
의료법인 센텀의료재단 센텀종합병원,부산광역시,수영구,종합병원,해당사항없음,부산광역시 수영구 수영로679번길 8 (광안동),26,26,0,0,0
의료법인동일의료재단수영나라요양병원,부산광역시,수영구,요양병원,해당사항없음,부산광역시 수영구 연수로 404 (광안동),0,0,0,0,1
한국보훈복지의료공단 부산보훈병원,부산광역시,사상구,종합병원,해당사항없음,부산광역시 사상구 백양대로 420 (주례동),24,24,0,0,19
의료법인 은성의료재단 좋은삼선병원,부산광역시,사상구,종합병원,해당사항없음,"부산광역시 사상구 가야대로 326, 좋은삼선병원 (주례동)",30,30,0,0,2
의료법인 은성의료재단 좋은부산요양병원,부산광역시,사상구,요양병원,해당사항없음,부산광역시 사상구 학감대로39번길 67 (학장동),0,0,0,0,1
강림요양병원,부산광역시,사상구,요양병원,해당사항없음,부산광역시 사상구 낙동대로 792 (엄궁동),0,0,0,0,1
의료법인 나라의료재단 스마트나라요양병원,부산광역시,사상구,요양병원,해당사항없음,부산광역시 사상구 낙동대로 1026(감전동),0,0,0,0,1
의료법인 길정의료재단 대남병원,부산광역시,사상구,정신병원,해당사항없음,부산광역시 사상구 학감대로39번길 116 (학장동),0,0,0,0,1
부산시립정신병원,부산광역시,사상구,정신병원,해당사항없음,부산광역시 사상구 학감대로39번길 104-36 (학장동),0,0,0,0,1
동남권원자력의학원원자력병원,부산광역시,기장군,종합병원,해당사항없음,부산광역시 기장군 장안읍 좌동길 40,12,12,0,0,5
경북대학교병원,대구광역시,중구,상급종합병원,해당사항없음,"대구광역시 중구 동덕로 130 (삼덕동2가, 경북대학교병원)",103,88,0,15,18
계명대학교대구동산병원,대구광역시,중구,종합병원,해당사항없음,"대구광역시 중구 달성로 56, 계명대학교대구동산병원 (동산동)",16,16,0,0,0
남산병원,대구광역시,중구,병원,일반의,대구광역시 중구 남산로13길 9 (남산동),0,0,0,0,2
푸른병원,대구광역시,중구,병원,일반의,대구광역시 중구 태평로 102 (태평로3가),6,6,0,0,0
대구파티마병원,대구광역시,동구,종합병원,해당사항없음,대구광역시 동구 아양로 99 (신암동),56,46,0,10,25
강남종합병원,대구광역시,동구,종합병원,해당사항없음,"대구광역시 동구 동촌로 207, 강남병원 (방촌동)",12,12,0,0,1
열경의료재단동부허병원,대구광역시,동구,정신병원,해당사항없음,"대구광역시 동구 화랑로 81, 동부허병원 (효목동)",0,0,0,0,13
대구의료원,대구광역시,서구,종합병원,해당사항없음,대구광역시 서구 평리로 157 (중리동),19,19,0,0,83
대구굿모닝병원,대구광역시,서구,종합병원,해당사항없음,"대구광역시 서구 달서로 42, 대구 굿모닝병원 지하2층~11층 (내당동)",39,39,0,0,0
더필병원,대구광역시,서구,병원,일반의,대구광역시 서구 서대구로 194 (평리동),11,11,0,0,0
대구광역시서부노인전문병원,대구광역시,서구,요양병원,해당사항없음,대구광역시 서구 와룡로 298-13 (중리동),0,0,0,0,30
제일효요양병원,대구광역시,서구,요양병원,해당사항없음,"대구광역시 서구 북비산로 250 (평리동, 제일효병원)",0,0,0,0,26
대구가톨릭대학교병원,대구광역시,남구,상급종합병원,해당사항없음,대구광역시 남구 두류공원로17길 33 (대명동),104,62,0,42,9
영남대학교병원,대구광역시,남구,상급종합병원,해당사항없음,대구광역시 남구 현충로 170 (대명동),99,84,0,15,7
성심요양병원,대구광역시,남구,요양병원,해당사항없음,대구광역시 남구 대명로 14 (대명동),0,0,0,0,6
뉴영대요양병원,대구광역시,남구,요양병원,해당사항없음,대구광역시 남구 대명로 275(대명동),0,0,0,0,5
앞산요양병원,대구광역시,남구,요양병원,해당사항없음,대구광역시 남구 대명로 237 (대명동),0,0,0,0,12
고은재활요양병원,대구광역시,남구,요양병원,해당사항없음,"대구광역시 남구 현충로 236, 2~6(4층 일부)층 (대명동)",0,0,0,0,1
대구요양병원,대구광역시,남구,요양병원,해당사항없음,"대구광역시 남구 현충로 184, 대구요양병원 (대명동)",0,0,0,0,42
칠곡경북대학교병원,대구광역시,북구,상급종합병원,해당사항없음,"대구광역시 북구 호국로 807, 칠곡경북대학교병원(임상실습동 1~11층 포함) (학정동)",96,45,12,39,17
대구가톨릭대학교 칠곡가톨릭병원,대구광역시,북구,종합병원,해당사항없음,대구광역시 북구 칠곡중앙대로 440 (읍내동),0,0,0,0,2
대구보건대학교병원,대구광역시,북구,병원,일반의,대구광역시 북구 팔거천동로 209 (동천동),0,0,0,0,1
한솔요양병원,대구광역시,북구,요양병원,해당사항없음,대구광역시 북구 침산로 167 (침산동),0,0,0,0,7
칠성요양병원,대구광역시,북구,요양병원,해당사항없음,"대구광역시 북구 신암로 27, 2,4층일부,5-7층 (칠성동1가)",0,0,0,0,11
센트럴요양병원,대구광역시,북구,요양병원,해당사항없음,"대구광역시 북구 연암로 111, 지하1층,지상1~6층 (산격동)",0,0,0,0,15
스위스요양병원,대구광역시,수성구,요양병원,해당사항없음,"대구광역시 수성구 화랑로 26, 2,3,4층 (만촌동, 만촌우방하이츠)",0,0,0,0,2
김신요양병원,대구광역시,수성구,요양병원,해당사항없음,"대구광역시 수성구 수성로 228, 지하1~10층 (중동)",0,0,0,0,1
의료법인한성재단동아메디병원,대구광역시,수성구,정신병원,해당사항없음,"대구광역시 수성구 지산로 77 (지산동, (지상1~6층))",0,0,0,0,2
계명대학교동산병원,대구광역시,달서구,상급종합병원,해당사항없음,대구광역시 달서구 달구벌대로 1035 (신당동),99,53,7,39,17
한국보훈복지의료공단 대구보훈병원,대구광역시,달서구,종합병원,해당사항없음,대구광역시 달서구 월곡로 60 (도원동),23,23,0,0,3
의료법인구의료재단 구병원,대구광역시,달서구,종합병원,해당사항없음,대구광역시 달서구 감삼북길 141 (감삼동),19,19,0,0,0
삼일병원,대구광역시,달서구,종합병원,해당사항없음,"대구광역시 달서구 월배로 436, 지하1,지상1~11층 (송현동)",0,0,0,0,1
더블유병원,대구광역시,달서구,종합병원,해당사항없음,"대구광역시 달서구 달구벌대로 1632, 더블유병원 (감삼동)",22,22,0,0,0
나사렛종합병원,대구광역시,달서구,종합병원,해당사항없음,"대구광역시 달서구 월배로 97, 나사렛병원 (진천동)",29,29,0,0,0
중앙요양병원,대구광역시,달서구,요양병원,해당사항없음,"대구광역시 달서구 월배로83길 14, 지하1, 2~5층 (송현동)",0,0,0,0,12
대구명성요양병원,대구광역시,달서구,요양병원,해당사항없음,대구광역시 달서구 성당로 223 (두류동),0,0,0,0,36
의료법인가창삼성의료재단 가창삼성요양병원,대구광역시,달성군,요양병원,해당사항없음,대구광역시 달성군 가창면 가창로57길 50,0,0,0,0,3
인하대학교의과대학부속병원,인천광역시,중구,상급종합병원,해당사항없음,"인천광역시 중구 인항로 27-0 (신흥동3가,인하대학병원)",122,91,5,26,7
인천기독병원,인천광역시,중구,종합병원,해당사항없음,"인천광역시 중구 답동로30번길 10 (율목동,(율목동))",10,10,0,0,3
고은요양병원,인천광역시,중구,요양병원,해당사항없음,인천광역시 중구 연안부두로21번길 11-12 (항동7가),0,0,0,0,24
인천광역시의료원,인천광역시,동구,종합병원,해당사항없음,"인천광역시 동구 방축로 217 (송림동,217)",17,17,0,0,21
의료법인 성수의료재단 인천백병원,인천광역시,동구,종합병원,해당사항없음,"인천광역시 동구 샛골로 214-  (송림동,(송림동))",12,12,0,0,0
의료법인 인천사랑병원,인천광역시,미추홀구,종합병원,해당사항없음,"인천광역시 미추홀구 미추홀대로 726-0 (주안동,인천사랑병원)",17,17,0,0,1
현대유비스병원,인천광역시,미추홀구,종합병원,해당사항없음,"인천광역시 미추홀구 독배로 503-0 (숭의동,현대유비스병원)",14,14,0,0,0
의료법인 아인의료재단 아인병원,인천광역시,미추홀구,병원,일반의,"인천광역시 미추홀구 경인로 372, 201동 지하1,지상3~12층 ,13층일부호 (주안동, 포레나 미추홀)",10,0,0,10,0
한국보훈복지의료공단 인천보훈병원,인천광역시,미추홀구,병원,일반의,"인천광역시 미추홀구 인주대로 138, 인천보훈병원 지(1,2),1~7층 (용현동)",7,7,0,0,0
인천사랑요양병원,인천광역시,미추홀구,요양병원,해당사항없음,"인천광역시 미추홀구 경인로 400 (주안동, 지하2층~지하1층, 1층일부~10층)",0,0,0,0,4
로뎀요양병원,인천광역시,미추홀구,요양병원,해당사항없음,"인천광역시 미추홀구 주안로 211, 지엔엠빌딩(1층 일부 ~ 9층) (주안동)",0,0,0,0,1
신한대바울요양병원,인천광역시,미추홀구,요양병원,해당사항없음,"인천광역시 미추홀구 경인로 107 (숭의동, 지2층 ~ 8층)",0,0,0,0,5
세움요양병원,인천광역시,미추홀구,요양병원,해당사항없음,"인천광역시 미추홀구 아암대로 53, 3~10층 (용현동)",0,0,0,0,1
(의)나사렛의료재단 나사렛국제병원,인천광역시,연수구,종합병원,해당사항없음,"인천광역시 연수구 먼우금로 98 (동춘동, (동춘동))",17,17,0,0,3
인천적십자병원,인천광역시,연수구,종합병원,해당사항없음,"인천광역시 연수구 원인재로 263-  (연수동,263)",8,8,0,0,2
송도효자병원,인천광역시,연수구,요양병원,해당사항없음,"인천광역시 연수구 능허대로 235 (옥련동, 송도효자병원)",0,0,0,0,36
의료법인 길의료재단 길병원,인천광역시,남동구,상급종합병원,해당사항없음,"인천광역시 남동구 남동대로774번길 21-0 (구월동,의료법인길의료재단길병원)",156,126,0,30,88
인천힘찬종합병원,인천광역시,남동구,종합병원,해당사항없음,"인천광역시 남동구 논현로 72-0 (논현동,인천힘찬종합병원)",9,9,0,0,0
행복마을요양병원,인천광역시,남동구,요양병원,해당사항없음,"인천광역시 남동구 백범로 398, 새마을금고중앙회 (간석동)",0,0,0,0,29
뿌리요양병원,인천광역시,남동구,요양병원,해당사항없음,"인천광역시 남동구 앵고개로934번길 43, 뿌리요양병원 (논현동)",0,0,0,0,1
가톨릭대학교인천성모병원,인천광역시,부평구,상급종합병원,해당사항없음,"인천광역시 부평구 동수로 56-0 (부평동,가톨릭대학교인천성모병원)",83,70,0,13,9
부평세림병원,인천광역시,부평구,종합병원,해당사항없음,"인천광역시 부평구 부평대로 175-  (청천동, (청천동))",15,15,0,0,2
근로복지공단인천병원,인천광역시,부평구,종합병원,해당사항없음,"인천광역시 부평구 무네미로 446-  (구산동,(구산동))",10,10,0,0,51
한림병원,인천광역시,계양구,종합병원,해당사항없음,"인천광역시 계양구 장제로 722 (작전동,(작전동))",23,23,0,0,10
인천세종병원,인천광역시,계양구,종합병원,해당사항없음,"인천광역시 계양구 계양문화로 20-0 (작전동,인천세종병원)",24,24,0,0,18
인천제2시립노인치매요양병원,인천광역시,계양구,요양병원,해당사항없음,"인천광역시 계양구 드림로 852, 노인치매요양병원 (갈현동)",0,0,0,0,1
성로요양병원,인천광역시,계양구,요양병원,해당사항없음,인천광역시 계양구 아나지로 378(작전동),0,0,0,0,10
(의)성세의료재단 뉴성민병원,인천광역시,서구,종합병원,해당사항없음,"인천광역시 서구 신석로 70-  (석남동,70)",19,19,0,0,0
의료법인루가의료재단 나은병원,인천광역시,서구,종합병원,해당사항없음,"인천광역시 서구 원적로 23 (가좌동,23)",30,30,0,0,9
검단탑병원,인천광역시,서구,종합병원,해당사항없음,"인천광역시 서구 청마로19번길 5 (당하동,(당하동))",18,18,0,0,2
가톨릭관동대학교 국제성모병원,인천광역시,서구,종합병원,해당사항없음,"인천광역시 서구 심곡로100번길 25-0 (심곡동,인천국제성모병원)",78,74,0,4,43
인천연세병원,인천광역시,서구,병원,일반의,인천광역시 서구 승학로 320 (연희동),5,5,0,0,0
정인의료소비자협동조합 검단연세요양병원,인천광역시,서구,요양병원,해당사항없음,인천광역시 서구 검단로459번길 3-2 (왕길동),0,0,0,0,12
나무요양병원,인천광역시,서구,요양병원,해당사항없음,"인천광역시 서구 고산후로121번길 19, 새롬프라자 1~5층 (원당동)",0,0,0,0,12
청담요양병원,인천광역시,서구,요양병원,해당사항없음,"인천광역시 서구 열우물로 235, 2~5층 (가좌동, 가재울플라자)",0,0,0,0,1
은혜병원,인천광역시,서구,정신병원,해당사항없음,인천광역시 서구 심곡로132번길 22 (심곡동),0,0,0,0,1
비에스종합병원,인천광역시,강화군,종합병원,해당사항없음,인천광역시 강화군 강화읍 충렬사로 31-0 ( ),20,19,0,1,0
전남대학교병원,광주광역시,동구,상급종합병원,해당사항없음,광주광역시 동구 제봉로 42 (학동),163,110,8,45,7
조선대학교병원,광주광역시,동구,상급종합병원,해당사항없음,광주광역시 동구 필문대로 365 (학동),99,79,0,20,9
동명병원,광주광역시,동구,병원,일반의,광주광역시 동구 동명로70번길 5(동명동),0,0,0,0,24
세종요양병원,광주광역시,동구,요양병원,해당사항없음,광주광역시 동구 천변우로 453 (금동),0,0,0,0,62
양명요양병원,광주광역시,동구,요양병원,해당사항없음,광주광역시 동구 제봉로 35-6 (학동),0,0,0,0,3
서광병원,광주광역시,서구,종합병원,해당사항없음,광주광역시 서구 금화로59번길 6 (금호동),12,12,0,0,2
미래로21병원,광주광역시,서구,종합병원,해당사항없음,광주광역시 서구 화운로 1 (화정동),8,8,0,0,0
광주한국병원,광주광역시,서구,종합병원,해당사항없음,광주광역시 서구 월드컵4강로 223 (쌍촌동),0,0,0,0,1
하일렌요양병원,광주광역시,서구,요양병원,해당사항없음,광주광역시 서구 상무대로 1176 (농성동),0,0,0,0,40
광주기독병원,광주광역시,남구,종합병원,해당사항없음,광주광역시 남구 양림로 37 (양림동),32,29,0,3,0
빛고을전남대학교병원,광주광역시,남구,종합병원,해당사항없음,"광주광역시 남구 덕남길 80-0, 1동 (덕남동,전남대학교병원류마티스전문질환센터)",10,10,0,0,0
동아병원,광주광역시,남구,종합병원,해당사항없음,광주광역시 남구 대남대로 238 (백운동),0,0,0,0,1
효인재활요양병원,광주광역시,남구,요양병원,해당사항없음,광주광역시 남구 대남대로 362 (월산동),0,0,0,0,5
효다움요양병원,광주광역시,남구,요양병원,해당사항없음,광주광역시 남구 송암로98번길 36-10 (송하동),0,0,0,0,16
씨티재활의학과요양병원,광주광역시,남구,요양병원,해당사항없음,광주광역시 남구 입하길 12-1 (송하동),0,0,0,0,1
남구THE선요양병원,광주광역시,남구,요양병원,해당사항없음,광주광역시 남구 효덕로303번길 12 (송하동),0,0,0,0,3
대한요양병원,광주광역시,남구,요양병원,해당사항없음,"광주광역시 남구 서문대로 758, 2~5층 (주월동)",0,0,0,0,35
광주희망병원,광주광역시,북구,종합병원,해당사항없음,광주광역시 북구 하서로 429 (용두동),9,9,0,0,0
광주병원,광주광역시,북구,종합병원,해당사항없음,광주광역시 북구 면앙로139번길 51 (두암동),13,13,0,0,0
빛고을여성병원,광주광역시,북구,병원,일반의,"광주광역시 북구 하서로 395, 빛고을 여성병원 2~7층 (양산동)",9,0,0,9,0
다움요양병원,광주광역시,북구,요양병원,해당사항없음,광주광역시 북구 하서로 387 (양산동),0,0,0,0,1
헤아림요양병원,광주광역시,북구,요양병원,해당사항없음,광주광역시 북구 하서로 290-51 (일곡동),0,0,0,0,1
첨단THE선요양병원,광주광역시,북구,요양병원,해당사항없음,광주광역시 북구 첨단연신로 25-0 (연제동),0,0,0,0,9
천사요양병원,광주광역시,북구,요양병원,해당사항없음,"광주광역시 북구 북문대로 18, 지1,1～7층 (운암동)",0,0,0,0,1
동행요양병원,광주광역시,북구,요양병원,해당사항없음,광주광역시 북구 무등로 226 (신안동),0,0,0,0,1
광주보훈병원,광주광역시,광산구,종합병원,해당사항없음,광주광역시 광산구 첨단월봉로 99 (산월동),26,26,0,0,2
하남성심병원,광주광역시,광산구,종합병원,해당사항없음,광주광역시 광산구 용아로 259 (산정동),10,10,0,0,0
첨단종합병원,광주광역시,광산구,종합병원,해당사항없음,광주광역시 광산구 첨단중앙로170번길 59 (쌍암동),24,24,0,0,1
KS병원,광주광역시,광산구,종합병원,해당사항없음,광주광역시 광산구 왕버들로 220 (수완동),23,23,0,0,0
광주센트럴병원,광주광역시,광산구,종합병원,해당사항없음,"광주광역시 광산구 수완로 6-0, A,B,C동 (신가동)",0,0,0,0,1
한마음병원,광주광역시,광산구,병원,일반의,"광주광역시 광산구 송도로 160, 3,4층 (도산동)",0,0,0,0,4
효정요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 노안삼도로 1263 (삼거동),0,0,0,0,3
자연요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 목련로 330-19 (신가동),0,0,0,0,5
호남THE선요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 사암로 206 (우산동),0,0,0,0,20
상그릴라요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 월계로 217 (쌍암동),0,0,0,0,26
우리요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 소촌로 96 (소촌동),0,0,0,0,1
첨단요양병원,광주광역시,광산구,요양병원,해당사항없음,광주광역시 광산구 첨단중앙로170번길 54(쌍암동),0,0,0,0,3
대전한국병원,대전광역시,동구,종합병원,해당사항없음,"대전광역시 동구 동서대로 1672 (성남동, (성남동))",12,12,0,0,0
대전화병원,대전광역시,동구,병원,일반의,"대전광역시 동구 동대전로 39-0 (신안동,대전화병원)",5,5,0,0,0
충남대학교병원,대전광역시,중구,상급종합병원,해당사항없음,"대전광역시 중구 문화로 282-  (대사동,(대사동))",123,84,5,34,14
학교법인 가톨릭학원 가톨릭대학교 대전성모병원,대전광역시,중구,종합병원,해당사항없음,"대전광역시 중구 대흥로 64-  (대흥동,(대흥동))",40,36,0,4,4
의료법인 영훈의료재단 대전선병원,대전광역시,중구,종합병원,해당사항없음,"대전광역시 중구 목중로 29 (목동,(목동))",25,25,0,0,2
의료법인 산수의료재단 웰시티요양병원,대전광역시,중구,요양병원,해당사항없음,"대전광역시 중구 대종로 400-  (대흥동, (대흥동))",0,0,0,0,1
학교법인 건양교육재단 건양대학교병원,대전광역시,서구,상급종합병원,해당사항없음,"대전광역시 서구 관저동로 158 (관저동,(관저동))",108,84,0,24,5
학교법인 을지학원 대전을지대학교병원,대전광역시,서구,종합병원,해당사항없음,"대전광역시 서구 둔산서로 95 (둔산동,(둔산동))",96,76,0,20,0
대청병원,대전광역시,서구,종합병원,해당사항없음,"대전광역시 서구 계백로 1322-  (정림동,(정림동))",17,17,0,0,0
의료법인영훈의료재단 유성선병원,대전광역시,유성구,종합병원,해당사항없음,"대전광역시 유성구 북유성대로 93-0 (지족동, 0동 0호 (지족동,유선성병원))",20,20,0,0,5
국군대전병원,대전광역시,유성구,병원,일반의,"대전광역시 유성구 자운로 90-0 (자운동, (자운동))",0,0,0,0,20
대전보훈병원,대전광역시,대덕구,종합병원,해당사항없음,"대전광역시 대덕구 대청로82번길 147 (신탄진동,147)",19,19,0,0,9
근로복지공단 대전병원,대전광역시,대덕구,종합병원,해당사항없음,"대전광역시 대덕구 계족로 637-  (법동, (법동))",5,5,0,0,1
사회복지법인천성원신탄진한일병원,대전광역시,대덕구,병원,일반의,"대전광역시 대덕구 신탄진로 623-0 (상서동,신탄진한일병원)",8,8,0,0,6
의료법인 동강의료재단 동강병원,울산광역시,중구,종합병원,해당사항없음,울산광역시 중구 태화로 239 (태화동),37,37,0,0,26
의료법인 우아의료재단 길메리요양병원,울산광역시,중구,요양병원,해당사항없음,울산광역시 중구 서원1길 106 (반구동),0,0,0,0,3
의료법인 청남의료재단  세민에스요양병원,울산광역시,중구,요양병원,해당사항없음,울산광역시 중구 내황4길 11 (반구동),0,0,0,0,2
울산병원,울산광역시,남구,종합병원,해당사항없음,울산광역시 남구 월평로171번길 13 (신정동),20,20,0,0,21
의료법인 은성의료재단 좋은삼정병원,울산광역시,남구,종합병원,해당사항없음,울산광역시 남구 북부순환도로 51 (무거동),15,15,0,0,1
의료법인 정안의료재단 중앙병원,울산광역시,남구,종합병원,해당사항없음,"울산광역시 남구 문수로 472, 중앙병원 (신정동)",22,22,0,0,1
임요양병원,울산광역시,남구,요양병원,해당사항없음,울산광역시 남구 삼산로 11 (신정동),0,0,0,0,2
의료법인 세연의료재단 무거연세요양병원,울산광역시,남구,요양병원,해당사항없음,"울산광역시 남구 대학로 148, 2~7층 (무거동)",0,0,0,0,8
구인의료재단법인 오복요양병원,울산광역시,남구,요양병원,해당사항없음,울산광역시 남구 두왕로 335 (신정동),0,0,0,0,10
삼호요양병원,울산광역시,남구,요양병원,해당사항없음,"울산광역시 남구 북부순환도로 58, 1~7층 (무거동)",0,0,0,0,10
의)우아의료재단 달동길메리요양병원,울산광역시,남구,요양병원,해당사항없음,"울산광역시 남구 돋질로 146 (달동, 달동길메리요양병원)",0,0,0,0,3
학교법인 울산공업학원 울산대학교병원,울산광역시,동구,상급종합병원,해당사항없음,"울산광역시 동구 대학병원로 25, 울산대학교병원 (전하동)",123,97,0,26,5
의료법인 정흡의료재단 효림요양병원,울산광역시,동구,요양병원,해당사항없음,울산광역시 동구 방어진순환도로 693-1 (일산동),0,0,0,0,14
의료법인 송은의료재단 울산시티병원,울산광역시,북구,종합병원,해당사항없음,울산광역시 북구 산업로 1007 (연암동),29,29,0,0,0
의료법인에스엠씨의료재단 복음요양병원,울산광역시,북구,요양병원,해당사항없음,울산광역시 북구 제내1길 6 (신천동),0,0,0,0,6
이손요양병원,울산광역시,울주군,요양병원,해당사항없음,"울산광역시 울주군 삼남읍 하방로 39, (지하1층, 지상 2,3,4층)",0,0,0,0,2
범서사랑요양병원,울산광역시,울주군,요양병원,해당사항없음,"울산광역시 울주군 범서읍 구영로 94, 엠프라자 3,7,8층",0,0,0,0,4
세광병원,울산광역시,울주군,정신병원,해당사항없음,울산광역시 울주군 삼남읍 반구대로 15,0,0,0,0,1
사회복지법인 동향원 부설 반구대병원,울산광역시,울주군,정신병원,해당사항없음,울산광역시 울주군 두동면 천전각석길 11,0,0,0,0,1
세종충남대학교병원,세종특별자치시,세종특별자치시,종합병원,해당사항없음,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",43,24,0,19,5
세종제일산부인과의원,세종특별자치시,세종특별자치시,의원,산부인과,"세종특별자치시 한누리대로 2265, 세종메디컬센터 5층, 6층층 (대평동)",0,0,0,0,2
경기도의료원 수원병원,경기도,수원시 장안구,종합병원,해당사항없음,경기도 수원시 장안구 수성로245번길 69 (정자동),9,9,0,0,35
연세수요양병원,경기도,수원시 장안구,요양병원,해당사항없음,"경기도 수원시 장안구 만석로 206, 1(일부),2~5,6(일부)층 (송죽동)",0,0,0,0,7
수원삼성요양병원,경기도,수원시 장안구,요양병원,해당사항없음,경기도 수원시 장안구 장안로 108 (정자동),0,0,0,0,20
의료법인 명인의료재단 화홍병원,경기도,수원시 권선구,종합병원,해당사항없음,경기도 수원시 권선구 호매실로90번길 98 (호매실동),30,30,0,0,0
의료법인 덕산의료재단 수원덕산병원,경기도,수원시 권선구,종합병원,해당사항없음,경기도 수원시 권선구 서부로 1674 (고색동),27,27,0,0,5
수원하나요양병원,경기도,수원시 권선구,요양병원,해당사항없음,"경기도 수원시 권선구 금곡로 206, 호매실우성메디피아2 304호, 4~5층 (금곡동)",0,0,0,0,3
가톨릭대학교 성빈센트병원,경기도,수원시 팔달구,상급종합병원,해당사항없음,경기도 수원시 팔달구 중부대로 93 (지동),91,73,0,18,11
의료법인 녹산의료재단동수원병원,경기도,수원시 팔달구,종합병원,해당사항없음,경기도 수원시 팔달구 중부대로 165 (우만동),23,23,0,0,1
의료법인 토마스의료재단 윌스기념병원,경기도,수원시 팔달구,종합병원,해당사항없음,경기도 수원시 팔달구 경수대로 437 (인계동),19,19,0,0,6
위더스요양병원,경기도,수원시 팔달구,요양병원,해당사항없음,경기도 수원시 팔달구 경수대로 511 (인계동),0,0,0,0,19
아주대학교병원,경기도,수원시 영통구,상급종합병원,해당사항없음,경기도 수원시 영통구 월드컵로 164 (원천동),160,124,0,36,24
