요양기관명,시도명,시군구명,요양기관종별,표시과목,주소,중환자실 병상수 소계,성인 중환자실 병상수,소아 중환자실 병상수,신생아 중환자실 병상수,격리병실 병상수
샘고을요양병원,전북특별자치도,정읍시,요양병원,해당사항없음,"전북특별자치도 정읍시 정읍북로 42-54 (구룡동, 1동 (구룡동,샘고을요양병원))",0,0,0,0,30
의료법인성은의료재단참조은병원,전북특별자치도,정읍시,정신병원,해당사항없음,"전북특별자치도 정읍시 새암길 29-11 (수성동,(수성동))",0,0,0,0,3
전북특별자치도 남원의료원,전북특별자치도,남원시,종합병원,해당사항없음,"전북특별자치도 남원시 충정로 365 (고죽동,(고죽동))",10,10,0,0,0
남원효사랑요양병원,전북특별자치도,남원시,요양병원,해당사항없음,"전북특별자치도 남원시 옥정4길 7 (향교동,(향교동))",0,0,0,0,3
김제병원,전북특별자치도,김제시,병원,일반의,"전북특별자치도 김제시 중앙로 55 (서암동, (서암동))",0,0,0,0,1
의료법인 백상의료재단 가족사랑요양병원,전북특별자치도,김제시,요양병원,해당사항없음,"전북특별자치도 김제시 하동1길 13 (하동,(하동))",0,0,0,0,32
미래요양병원,전북특별자치도,김제시,요양병원,해당사항없음,전북특별자치도 김제시 금구면 낙산1길 72,0,0,0,0,7
미래병원,전북특별자치도,김제시,정신병원,해당사항없음,전북특별자치도 김제시 금구면 낙산1길 74-1,0,0,0,0,1
신세계병원,전북특별자치도,김제시,정신병원,해당사항없음,전북특별자치도 김제시 금산면 구성5길 84-15,0,0,0,0,1
의료법인지석의료재단 신세계효병원,전북특별자치도,김제시,정신병원,해당사항없음,전북특별자치도 김제시 금산면 구성5길 84-11,0,0,0,0,1
완주요양병원,전북특별자치도,완주군,요양병원,해당사항없음,전북특별자치도 완주군 봉동읍 둔산3로 31-5,0,0,0,0,2
임실중앙요양병원,전북특별자치도,임실군,요양병원,해당사항없음,전북특별자치도 임실군 임실읍 봉황로 71,0,0,0,0,1
순창요양병원,전북특별자치도,순창군,요양병원,해당사항없음,전북특별자치도 순창군 순창읍 순창로 105,0,0,0,0,14
부안성모병원,전북특별자치도,부안군,종합병원,해당사항없음,전북특별자치도 부안군 부안읍 오정2길 24,9,9,0,0,0
부안군노인요양병원,전북특별자치도,부안군,요양병원,해당사항없음,전북특별자치도 부안군 부안읍 봉두길 68,0,0,0,0,1
