목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
서초구,서초2동,1702,0,1,0,0,0,94,0,0,34,94,35,129,1,0.0,0.0,0.0,0.0,1,0,9.0,9.0
서초구,서초3동,2440,3,0,1,0,1,57,0,0,34,61,35,96,5,0.0,0.0,0.0,0.0,1,4,25.0,5.0
서초구,서초4동,1748,1,0,0,0,0,245,0,0,40,246,40,286,1,0.0,0.0,0.0,0.0,0,1,2.0,2.0
서초구,양재1동,4323,1,0,0,0,1,47,0,0,15,49,15,64,2,0.0,0.0,0.0,0.0,0,2,15.0,7.5
서초구,양재2동,2116,0,0,0,0,0,15,0,0,9,15,9,24,0,0.0,0.0,0.0,0.0,0,0,0.0,
서초구,잠원동,825,0,0,0,0,0,123,0,0,10,123,10,133,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,금호1가동,1374,0,0,0,0,0,11,0,0,3,11,3,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,금호2.3가동,1356,0,0,0,0,0,14,0,0,8,14,8,22,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,금호4가동,656,0,0,0,0,0,25,0,0,3,25,3,28,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,마장동,7100,0,0,0,0,0,8,0,0,5,8,5,13,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,사근동,3898,0,0,0,1,0,2,0,0,1,3,1,4,1,1.0,89.0,20.0,109.0,0,1,387.0,387.0
성동구,성수1가1동,2818,0,0,0,0,0,10,0,0,4,10,4,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,성수1가2동,774,0,0,0,0,0,26,0,0,6,26,6,32,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,성수2가1동,636,0,0,0,0,0,11,0,0,5,11,5,16,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,성수2가3동,1135,1,0,0,0,1,29,0,0,7,31,7,38,2,1.0,0.0,115.0,115.0,0,2,12.0,6.0
성동구,송정동,672,1,0,0,0,0,3,0,0,0,4,0,4,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
성동구,옥수동,565,0,0,0,0,0,20,0,0,9,20,9,29,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,왕십리2동,873,0,0,0,0,0,9,0,0,5,9,5,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,왕십리도선동,5258,1,1,0,0,0,37,0,1,21,39,22,61,3,1.0,5.0,0.0,5.0,1,2,22.0,7.333333333333333
성동구,용답동,371,0,0,0,0,2,10,0,0,5,12,5,17,2,0.0,0.0,0.0,0.0,0,2,9.0,4.5
성동구,응봉동,442,0,0,0,0,0,2,0,0,4,2,4,6,0,0.0,0.0,0.0,0.0,0,0,0.0,
성동구,행당1동,2731,1,0,0,0,0,30,0,0,9,31,9,40,1,0.0,0.0,0.0,0.0,0,1,6.0,6.0
성동구,행당2동,1628,0,0,0,0,0,12,0,0,5,12,5,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,길음1동,6090,0,0,0,0,0,26,0,0,13,26,13,39,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,길음2동,2429,3,0,0,0,1,9,0,0,9,13,9,22,4,0.0,0.0,0.0,0.0,0,4,48.0,12.0
성북구,돈암1동,1781,0,0,0,0,0,6,0,0,1,6,1,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,돈암2동,628,0,0,0,0,0,5,0,0,3,5,3,8,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,동선동,2201,1,0,0,0,0,37,0,0,10,38,10,48,1,0.0,0.0,0.0,0.0,0,1,9.0,9.0
성북구,보문동,2446,0,0,0,0,2,7,0,0,5,9,5,14,2,0.0,0.0,0.0,0.0,0,2,10.0,5.0
성북구,삼선동,3232,0,0,0,0,0,30,0,0,12,30,12,42,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,석관동,2813,0,0,1,0,0,21,0,0,10,21,11,32,1,0.0,0.0,0.0,0.0,1,0,0.0,0.0
성북구,성북동,2103,0,0,0,0,0,14,0,0,4,14,4,18,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,안암동,3784,1,0,0,1,0,5,0,0,2,7,2,9,2,1.0,91.0,14.0,105.0,0,2,524.0,262.0
성북구,월곡1동,2978,0,0,0,0,0,9,0,0,8,9,8,17,0,0.0,0.0,0.0,0.0,0,0,0.0,
성북구,월곡2동,3534,0,1,0,0,0,18,0,0,7,18,8,26,1,0.0,0.0,0.0,0.0,1,0,10.0,10.0
성북구,장위1동,2179,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
