목적구,행정동,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
동작구,사당5동,2,0,0,0,0,0,4,0,0,1,4,1,5
동작구,상도1동,61,1,0,0,0,0,29,0,0,13,30,13,43
동작구,상도2동,49,0,0,0,0,0,30,0,0,10,30,10,40
동작구,상도3동,4,0,0,0,0,0,19,0,0,10,19,10,29
동작구,상도4동,25,1,0,0,0,0,9,0,0,8,10,8,18
동작구,신대방1동,153,0,0,0,0,1,16,0,0,6,17,6,23
동작구,신대방2동,3975,0,0,0,0,0,17,0,1,4,18,4,22
동작구,흑석동,1428,0,0,0,1,0,21,0,0,12,22,12,34
마포구,공덕동,208,0,0,0,0,0,36,0,0,7,36,7,43
마포구,대흥동,908,1,0,0,0,0,40,0,0,13,41,13,54
마포구,도화동,186,0,0,0,0,0,49,0,0,15,49,15,64
마포구,망원1동,294,0,0,0,0,0,22,0,0,13,22,13,35
마포구,망원2동,12,0,0,0,0,0,8,0,0,5,8,5,13
마포구,상암동,975,0,0,0,0,1,31,0,0,12,32,12,44
마포구,서강동,8,0,0,0,0,0,4,0,0,5,4,5,9
마포구,서교동,366,0,0,0,0,0,136,0,0,28,136,28,164
마포구,성산1동,765,0,0,0,0,1,5,0,0,4,6,4,10
마포구,성산2동,1076,0,1,0,0,1,19,0,0,7,20,8,28
마포구,신수동,109,2,0,0,0,0,8,0,0,6,10,6,16
마포구,아현동,91,1,0,0,0,0,37,0,0,15,38,15,53
마포구,염리동,220,0,0,0,0,0,6,0,0,2,6,2,8
마포구,용강동,23,2,0,0,0,0,16,0,0,8,18,8,26
마포구,합정동,7,0,0,0,0,0,19,0,0,5,19,5,24
서대문구,남가좌1동,63,1,0,0,0,0,20,0,0,4,21,4,25
서대문구,남가좌2동,30,0,0,0,0,0,21,0,0,12,21,12,33
서대문구,북가좌1동,22,0,0,1,0,1,11,0,0,3,12,4,16
서대문구,북가좌2동,37,0,0,0,0,0,17,0,0,9,17,9,26
서대문구,북아현동,489,0,0,0,0,0,20,0,0,6,20,6,26
서대문구,신촌동,6420,0,0,0,1,0,30,0,0,8,31,8,39
서대문구,연희동,1424,0,1,0,0,1,16,0,0,11,17,12,29
서대문구,천연동,14,0,0,0,0,0,10,0,0,7,10,7,17
서대문구,충현동,309,0,0,0,0,1,11,0,0,6,12,6,18
서대문구,홍은1동,31,0,0,0,0,1,7,0,0,3,8,3,11
서대문구,홍은2동,333,0,0,0,0,1,5,0,1,3,7,3,10
서대문구,홍제1동,361,0,0,0,0,0,27,0,0,11,27,11,38
서대문구,홍제2동,12,0,0,0,0,0,4,0,0,3,4,3,7
서대문구,홍제3동,42,1,0,0,0,0,25,0,0,7,26,7,33
서초구,내곡동,623,1,0,0,0,0,8,0,0,5,9,5,14
서초구,반포1동,28,1,0,0,0,0,116,0,0,10,117,10,127
서초구,반포2동,2,0,0,0,0,0,27,0,0,5,27,5,32
서초구,반포3동,148,0,0,0,0,0,36,0,0,20,36,20,56
서초구,반포4동,970,0,0,0,1,1,29,0,0,8,31,8,39
서초구,방배1동,73,2,0,0,0,0,40,0,0,14,42,14,56
서초구,방배2동,120,0,0,0,0,1,23,0,0,13,24,13,37
서초구,방배3동,31,2,0,0,0,0,8,0,0,5,10,5,15
서초구,방배4동,57,0,0,1,0,0,57,0,0,20,57,21,78
서초구,방배본동,19,1,0,0,0,0,16,0,0,9,17,9,26
서초구,서초1동,1009,2,0,0,0,0,43,0,1,20,46,20,66
서초구,서초2동,24,0,1,0,0,0,94,0,0,34,94,35,129
