사용월,노선명,역명,역명정규화,station_key,운행엘리베이터보유여부,운행엘리베이터수,엘리베이터연결층,엘리베이터설치위치,운행휠체어리프트보유여부,운행휠체어리프트수,휠체어리프트운행구간,휠체어리프트설치위치,안전발판보유여부,안전발판수,휠체어접근가능화장실보유여부,장애인화장실설치위치,장애인화장실층
2025-12,6호선,디지털미디어시티,디지털미디어시티,6호선|디지털미디어시티,1,3,1 | 지하B1→지하B2 | 증산 방면1-1; 2 | 지하B1→지하B2 | 월드컵경기장 방면8-4; 3 | 지하B1→지상1 | 4번 출입구,증산 방면1-1; 월드컵경기장 방면8-4; 4번 출입구,1,2,1 | 지하B2→지하B3 | 증산 방면8-4; 2 | 지하B3→지하B2 | 월드컵경기장 방면1-1,증산 방면8-4; 월드컵경기장 방면1-1,0,0,1,"대합실 지하1층 4번 출입구 옆; 대합실 지하1층 2,3번 출입구 옆",B1
2025-12,6호선,망원,망원,6호선|망원,1,2,1 | 지하B1→지하B2 | 마포구청 방면5-1; 2 | 지하B2→지상1 | 합정 방면5-2,마포구청 방면5-1; 합정 방면5-2,0,0,없음,없음,0,0,1,B1 대합실 1번 출입구 옆,B1
2025-12,6호선,보문,보문,6호선|보문,1,1,"1 | 지하B2→지하B3 | 창신 방면4-4 , 안암 방면5-1","창신 방면4-4 , 안암 방면5-1",0,0,없음,없음,0,0,1,지하2층 대합실 아이센터 옆,B2
2025-12,6호선,봉화산(서울의료원),봉화산(서울의료원),6호선|봉화산(서울의료원),1,3,3 | 지하B2→지하B1 | 신내 방면8-3; 4 | 지하B2→지하B1 | 화랑대 방면1-2; 1 | 지하B1→지상1 | 2번 출입구; 2 | 지하B1→지상1 | 4번 출입구,신내 방면8-3; 화랑대 방면1-2; 2번 출입구; 4번 출입구,0,0,없음,없음,0,0,1,지하 1층 대합실(고객상담실 옆),B1
2025-12,6호선,삼각지(전쟁기념관)(전쟁기념관),삼각지(전쟁기념관)(전쟁기념관),6호선|삼각지(전쟁기념관)(전쟁기념관),1,5,"1 | 지하B3→지하B4 | 효창공원앞 방면1-1,녹사평 방면8-4; 2 | 지하B3→지하B4 | 녹사평 방면1-1, 효창공원앞 방면8-4; 3 | 지하B3→지상1 | 8번 출입구; 4 | 지하B3→지상1 | 12번 출입구; 5 | 지하B3→지하B4 | 환승통로(효창공원앞 방면6-1,녹사평 방면4-4)","효창공원앞 방면1-1,녹사평 방면8-4; 녹사평 방면1-1, 효창공원앞 방면8-4; 8번 출입구; 12번 출입구; 환승통로(효창공원앞 방면6-1,녹사평 방면4-4)",0,0,없음,없음,0,0,0,"대합실 1층 7,8번 출입구 측면",B1
2025-12,6호선,상수,상수,6호선|상수,1,3,"3 | 지하B2→지하B1 | 대합실; 1 | 지하B2→지하B3 | 합정 방면4-4, 광흥창 방면5-1; 2 | 지하B1→지상1 | 3번 출입구","대합실; 합정 방면4-4, 광흥창 방면5-1; 3번 출입구",0,0,없음,없음,0,0,1,B2 대합실 상가 미샤 옆,B2
2025-12,6호선,석계,석계,6호선|석계,1,3,1 | 지하B2→지하B3 | 돌곶이 방면3-3; 2 | 지하B2→지하B3 | 태릉입구 방면6-2; 3 | 지하B2→지상1 | 1번 출입구; 4 | 지하B2→지상1 | 4번 출입구,돌곶이 방면3-3; 태릉입구 방면6-2; 1번 출입구; 4번 출입구,1,2,1 | 지하B2→지하B3 | 돌곶이 방면1-1; 2 | 지하B2→지하B3 | 태릉입구 방면8-4,돌곶이 방면1-1; 태릉입구 방면8-4,0,0,1,지하 2층 대합실(환승통로); 지하 1층 대합실(7번 출입구 앞),B2; B1
2025-12,6호선,안암(고대병원앞),안암(고대병원앞),6호선|안암(고대병원앞),1,3,1 | 지하B2→지하B3 | 보문 방면5-2; 2 | 지하B2→지하B3 | 고려대 방면4-3; 3 | 지하B2→지상1 | 1번 출입구,보문 방면5-2; 고려대 방면4-3; 1번 출입구,0,0,없음,없음,0,0,1,"대합실 B1층 3,4번 출입구 계단 인근; 대합실 B2층 봉화산방면 승강장 계단 인근",B1; B2
2025-12,6호선,증산(명지대앞),증산(명지대앞),6호선|증산(명지대앞),1,3,1 | 지하B1→지하B2 | 새절 방면5-1; 2 | 지하B1→지하B2 | 디지털미디어시티 방면4-3; 3 | 지하B1→지상1 | 2번 출입구,새절 방면5-1; 디지털미디어시티 방면4-3; 2번 출입구,0,0,없음,없음,0,0,1,대합실 1층 1번 출입구 옆,B1
2025-12,6호선,한강진,한강진,6호선|한강진,1,3,1 | 지하B3→지하B4 | 이태원 방면5-2; 2 | 지하B1→지하B4 | 버티고개 방면4-2; 3 | 지하B1→지상1 | 3번 출입구,이태원 방면5-2; 버티고개 방면4-2; 3번 출입구,0,0,없음,없음,0,0,1,대합실 B1층 임대상가(gs25)옆,B1
